id;question_id;level;question_type;question;answer_type;value;picture
143;143;MEDIUM;BIBLICAL;Will the Lord judge between the nations according to Isaiah 2?;TRUE_FALSE;1;
144;144;MEDIUM;BIBLICAL;What will people not lift up against nation anymore?;SINGLE;1;
145;145;MEDIUM;BIBLICAL;Which items are mentioned as being made from swords and spears?;MULTIPLE;1;
146;146;MEDIUM;BIBLICAL;Is the house of Jacob described as being full of eastern ways?;TRUE_FALSE;1;
147;147;MEDIUM;BIBLICAL;What do people worship according to Isaiah 2:8?;MULTIPLE;1;
148;148;MEDIUM;BIBLICAL;What will happen to the lofty looks of man?;SINGLE;1;
149;149;MEDIUM;BIBLICAL;Who alone will be exalted in that day?;SINGLE;1;
150;150;MEDIUM;BIBLICAL;Will people cast away their idols in the caves and rocks?;TRUE_FALSE;1;
#---
151;151;HARD;BIBLICAL;Which two locations are mentioned as sources for the law and the word of the Lord in Isaiah 2:3?;MULTIPLE;1;
152;152;HARD;BIBLICAL;What will the Lord judge between, according to Isaiah 2:4?;MULTIPLE;1;
153;153;HARD;BIBLICAL;Will people learn war anymore according to Isaiah 2:4?;TRUE_FALSE;1;
154;154;HARD;BIBLICAL;What is the house of Jacob full of in Isaiah 2:6?;MULTIPLE;1;
155;155;HARD;BIBLICAL;Which items are mentioned as being worshipped in Isaiah 2:8?;MULTIPLE;1;
156;156;HARD;BIBLICAL;Will the proud and lofty be brought low in that day?;TRUE_FALSE;1;
157;157;HARD;BIBLICAL;What natural features are mentioned as being brought low in Isaiah 2:13-14?;MULTIPLE;1;
158;158;HARD;BIBLICAL;Where will people go to hide from the terror of the Lord?;MULTIPLE;1;
159;159;HARD;BIBLICAL;What will people cast away to the moles and bats?;SINGLE;1;
160;160;HARD;BIBLICAL;According to Isaiah 2:22, should man be relied upon?;TRUE_FALSE;1;
#---
161;161;EASY;BIBLICAL;Who takes away supply and support from Jerusalem and Judah in Isaiah 3:1?;SINGLE;1;
162;162;EASY;BIBLICAL;Which two groups are mentioned as being taken away in Isaiah 3:2-3?;MULTIPLE;1;
163;163;EASY;BIBLICAL;Will children be their princes according to Isaiah 3:4?;TRUE_FALSE;1;
164;164;EASY;BIBLICAL;What will the people oppress, according to Isaiah 3:5?;SINGLE;1;
165;165;EASY;BIBLICAL;Who will be insolent toward the honorable?;SINGLE;1;
166;166;EASY;BIBLICAL;What do the wicked declare about themselves in Isaiah 3:9?;SINGLE;1;
167;167;EASY;BIBLICAL;Will the righteous eat the fruit of their doings?;TRUE_FALSE;1;
168;168;EASY;BIBLICAL;What do the women of Zion do as they walk?;MULTIPLE;1;
169;169;EASY;BIBLICAL;What will the Lord take away from the daughters of Zion?;SINGLE;1;
170;170;EASY;BIBLICAL;Will the gates of Zion lament and mourn?;TRUE_FALSE;1;
#---
171;171;MEDIUM;BIBLICAL;Which supplies does the Lord take away from Jerusalem and Judah in Isaiah 3:1?;MULTIPLE;1;
172;172;MEDIUM;BIBLICAL;Who are listed among those removed in Isaiah 3:2-3?;MULTIPLE;1;
173;173;MEDIUM;BIBLICAL;Will the people have children as their rulers?;TRUE_FALSE;1;
174;174;MEDIUM;BIBLICAL;Who will oppress one another according to Isaiah 3:5?;SINGLE;1;
175;175;MEDIUM;BIBLICAL;What does a man refuse to be in his father's house in Isaiah 3:6-7?;SINGLE;1;
176;176;MEDIUM;BIBLICAL;What do the wicked declare about themselves in Isaiah 3:9?;MULTIPLE;1;
177;177;MEDIUM;BIBLICAL;Will the righteous eat the fruit of their doings?;TRUE_FALSE;1;
178;178;MEDIUM;BIBLICAL;What do the women of Zion do as they walk, according to Isaiah 3:16?;MULTIPLE;1;
179;179;MEDIUM;BIBLICAL;What will the Lord take away from the daughters of Zion in Isaiah 3:18-23?;MULTIPLE;1;
180;180;MEDIUM;BIBLICAL;Will the gates of Zion lament and mourn?;TRUE_FALSE;1;
#-------------------------------------------------------------------------

